CountryNames,CountryCode,IndicatorName,Year(2010),Year(2011),Year(2012),Year(2013),Year(2014),Year(2015),Year(2016),Year(2017),Year(2018),
Sweden,SWE,cpi,0.94,0.97,0.98,0.97,0.97,0.97,0.98,1,1.02,
Switzerland,CHE,cpi,1.02,1.02,1.01,1.01,1.01,1,0.99,1,1.01,
Syrian Arab Republic,SYR,cpi,-,-,-,-,-,-,-,-,-,
Taiwan, China,TWN,cpi,0.93,-,-,0.97,-,-,0.99,-,-
Tajikistan,TJK,cpi,-,-,-,-,-,0.88,-,-,-,
Tanzania,TZA,cpi,-,0.72,-,-,-,-,-,1.03,-,
Thailand,THA,cpi,0.9,0.93,0.96,0.98,1,0.99,0.99,1,1.01,
Timor-Leste,TLS,cpi,-,-,-,-,1,-,-,-,-,
Togo,TGO,cpi,-,0.93,-,-,-,1,-,-,1.01,
Tonga,TON,cpi,-,-,-,-,-,0.91,-,-,-,
Trinidad and Tobago,TTO,cpi,-,-,-,-,-,-,-,-,-,
Tunisia,TUN,cpi,0.75,-,-,-,-,0.93,-,-,-,
Turkiye,TUR,cpi,0.57,0.61,0.66,0.71,0.78,0.83,0.9,1,1.16,
Turkmenistan,TKM,cpi,-,-,-,-,-,-,-,-,-,
Tuvalu,TUV,cpi,0.86,-,-,-,-,-,-,-,-,
Uganda,UGA,cpi,-,-,0.81,-,-,-,0.97,-,-,
Ukraine,UKR,cpi,0.42,0.46,0.46,0.46,0.52,0.77,0.87,1,1.11,
United Arab Emirates,ARE,cpi,-,-,-,0.92,-,-,-,-,1.03,
United Kingdom,GBR,cpi,0.87,0.9,0.93,0.95,0.96,0.97,0.98,1,1.02,
United States,USA,cpi,0.89,0.92,0.94,0.95,0.97,0.97,0.98,1,1.02,
Uruguay,URY,cpi,0.55,0.59,0.64,0.69,0.74,0.81,0.88,0.95,1.02,
Uzbekistan,UZB,cpi,-,-,-,-,-,-,-,-,-,
Vanuatu,VUT,cpi,0.9,-,-,-,-,-,-,-,-,
Venezuela, RB,VEN,cpi,-,-,-,-,-,-,-,-,-
Vietnam,VNM,cpi,0.62,-,0.82,-,0.93,-,0.94,-,1.02,
West Bank and Gaza,PSE,cpi,0.9,0.93,-,-,-,-,1,-,-,
Yemen, Rep.,YEM,cpi,-,-,-,-,0.52,-,-,-,-
Zambia,ZMB,cpi,0.55,-,-,-,-,0.8,-,-,-,
Zimbabwe,ZWE,cpi,-,0.98,-,-,-,-,-,1,-,
